Ticker,Published,Traded,Filed_After,Action,Amount
CAH,9/23/2024,9/19/2024,3,BUY,1000–15000
CRWD,9/23/2024,9/19/2024,3,BUY,1000–15000
INTC,9/23/2024,9/19/2024,3,BUY,1000–15000
LRCX,9/23/2024,9/19/2024,3,BUY,1000–15000
MSFT,9/23/2024,9/19/2024,3,BUY,1000–15000
SCCO,9/23/2024,9/19/2024,3,BUY,1000–15000
UPS,9/23/2024,9/19/2024,3,BUY,1000–15000
GOOGL,9/5/2024,9/2/2024,1,BUY,1000–15000
AMZN,9/5/2024,9/2/2024,1,BUY,1000–15000
AAPL,9/5/2024,9/2/2024,1,BUY,1000–15000
SCHW,9/5/2024,9/2/2024,1,BUY,1000–15000
GLW,9/5/2024,9/2/2024,1,BUY,1000–15000
CRWD,9/5/2024,9/2/2024,1,BUY,1000–15000
DLR,9/5/2024,9/2/2024,1,BUY,1000–15000
GSK,9/5/2024,9/2/2024,1,BUY,1000–15000
LULU,9/5/2024,9/2/2024,1,BUY,1000–15000
NVDA,9/5/2024,9/2/2024,1,BUY,1000–15000
PANW,9/5/2024,9/2/2024,1,BUY,1000–15000
QCOM,9/5/2024,9/2/2024,1,BUY,1000–15000
TSLA,9/5/2024,9/2/2024,1,BUY,1000–15000
UPS,9/5/2024,9/2/2024,1,BUY,1000–15000
GOOGL,8/23/2024,8/20/2024,1,BUY,1000–15000
AMZN,8/23/2024,8/20/2024,1,BUY,1000–15000
FDX,8/23/2024,8/20/2024,1,BUY,1000–15000
INTC,8/23/2024,8/20/2024,1,BUY,1000–15000
KMI,8/23/2024,8/20/2024,1,BUY,1000–15000
NVDA,8/23/2024,8/20/2024,1,BUY,1000–15000
AMAT,7/25/2024,7/22/2024,1,BUY,1000–15000
GLW,7/25/2024,7/22/2024,1,BUY,1000–15000
DELL,7/25/2024,7/22/2024,1,BUY,1000–15000
DUK,7/25/2024,7/22/2024,1,BUY,1000–15000
JPM,7/25/2024,7/22/2024,1,BUY,1000–15000
UPS,7/25/2024,7/22/2024,1,BUY,1000–15000
ASML,6/28/2024,6/23/2024,3,BUY,1000–15000
COST,6/28/2024,6/23/2024,3,BUY,1000–15000
CRWD,6/28/2024,6/23/2024,3,BUY,1000–15000
LULU,6/28/2024,6/23/2024,3,BUY,1000–15000
NSRGY,6/28/2024,6/23/2024,3,BUY,1000–15000
NEE,6/28/2024,6/23/2024,3,BUY,1000–15000
AMD,5/21/2024,5/20/2024,0,BUY,1000–15000
AAPL,5/21/2024,5/20/2024,0,BUY,1000–15000
CAT,5/21/2024,5/20/2024,0,BUY,1000–15000
SCHW,5/21/2024,5/20/2024,0,BUY,1000–15000
KMI,5/21/2024,5/20/2024,0,BUY,1000–15000
SO,5/21/2024,5/20/2024,0,BUY,1000–15000
BRK/B,5/2/2024,4/23/2024,7,BUY,1000–15000
GS,5/2/2024,4/23/2024,7,BUY,1000–15000
HD,5/2/2024,4/23/2024,7,BUY,1000–15000
IEMG,5/2/2024,4/25/2024,5,SELL,1000–15000
IXUS,5/2/2024,4/25/2024,5,SELL,1000–15000
IVV,5/2/2024,4/25/2024,5,SELL,15000–50000
IJR,5/2/2024,4/25/2024,5,SELL,1000–15000
IUSG,5/2/2024,4/25/2024,5,SELL,1000–15000
MSFT,5/2/2024,4/23/2024,7,BUY,1000–15000
QCOM,5/2/2024,4/23/2024,7,BUY,1000–15000
SCHX,5/2/2024,4/23/2024,7,BUY,1000–15000
HSY,5/2/2024,4/23/2024,7,BUY,1000–15000
TSCO,5/2/2024,4/23/2024,7,BUY,1000–15000
VEA,5/2/2024,4/23/2024,7,BUY,1000–15000
VO,5/2/2024,4/23/2024,7,BUY,1000–15000
VOO,5/2/2024,4/23/2024,7,BUY,15000–50000
VB,5/2/2024,4/23/2024,7,BUY,1000–15000
COST,6/21/2022,6/9/2022,10,BUY,15000–50000
GS,6/21/2022,6/9/2022,10,BUY,1000–15000
HD,6/21/2022,6/9/2022,10,BUY,15000–50000
INTC,6/21/2022,6/9/2022,10,BUY,1000–15000
QQQ,6/21/2022,6/9/2022,10,BUY,15000–50000
NSRGY,6/21/2022,6/9/2022,10,BUY,15000–50000
PG,6/21/2022,6/9/2022,10,BUY,1000–15000
UPS,6/21/2022,6/9/2022,10,BUY,15000–50000
V,6/21/2022,6/9/2022,10,BUY,15000–50000
